"Level","Feature Name","Details","Powers Known"
"1","Feats","Gain a new combat feat and a new exploration feat.","3"
"1","Auras","2 tile radius tile effects. 0 AP once per turn to toggle, 1/3/6 essence drain at end of turn. Up to 3 active, duplicates allowed. If you don't have enough essence to pay cost, disable all auras.","3"
"1","Stand Your Ground","At the start of your turn, decide. Until the start of your next turn, you cannot take movement actions, are immune to forced movement, cannot be knocked prone and Defend also grants benefit of Ward.","3"
"1","Ideal: Shield of Faith","Gain bonus to your Block action based on ideal.","3"
"2","Conviction","When attempting to convince someone to act to directly benefit your Cause, you have advantage on all Guidance and Charm skill checks made.","4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feats","Gain a new combat feat and a new exploration feat.","4"
"4","Unsassailable","When you Block, can choose to reroll skill check. Must use new result.","4"
"5","Sanctify","You gain access to the Sanctify downtime activity, along you to modify an area to reflect your beliefs until the end of your next rest.","5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feats","Gain a new combat feat and a new exploration feat.","5"
"7","Rallying Blow","Whenever you hit a creature with a Strike or Grapple attack, each ally within a 2 tile radius of you may make an attack of opportunity against that creature","5"
"8","Redemption","Downtime activity: Make a difficulty 25 Presence (Guidance) skill check, adding their loyalty towards you to the skill check result. If you succeed, their value in your chosen Ideal permanently changes by 1. This skill check benefits from your Muster feature. If you fail this skill check by 10 or more their loyalty towards you decreases by 1.","6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feats","Gain a new combat feat and a new exploration feat.","6"
"10","Ideal: Apotheosis","While you have 3 auras active, gain a powerful personal buff.","7"
